Date,Price,Open,High,Low,Change %
"Apr 03, 2000",43.612,43.62,43.64,43.56,0.03%
"Apr 04, 2000",43.615,43.595,43.66,43.575,0.01%
"Apr 05, 2000",43.61,43.67,43.69,43.61,-0.01%
"Apr 06, 2000",43.6,43.65,43.682,43.6,-0.02%
"Apr 07, 2000",43.62,43.64,43.672,43.62,0.05%
"Apr 10, 2000",43.61,43.63,43.7,43.61,-0.02%
"Apr 11, 2000",43.615,43.655,43.702,43.615,0.01%
"Apr 12, 2000",43.625,43.655,43.7,43.615,0.02%
"Apr 13, 2000",43.64,43.682,43.707,43.64,0.03%
"Apr 14, 2000",43.665,43.685,43.73,43.665,0.06%
"Apr 17, 2000",43.66,43.68,43.717,43.65,-0.01%
"Apr 18, 2000",43.625,43.675,43.72,43.625,-0.08%
"Apr 19, 2000",43.65,43.66,43.715,43.65,0.06%
"Apr 20, 2000",43.65,43.71,43.765,43.65,0.00%
"Apr 21, 2000",43.625,43.685,43.705,43.625,-0.06%
"Apr 24, 2000",43.65,43.65,43.707,43.6,0.06%
"Apr 25, 2000",43.65,43.65,43.707,43.63,0.00%
"Apr 26, 2000",43.65,43.66,43.71,43.65,0.00%
"Apr 27, 2000",43.625,43.695,43.737,43.625,-0.06%
"Apr 28, 2000",43.65,43.705,43.705,43.63,0.06%
"Aug 01, 2000",45.1,45.08,45.26,44.91,0.11%
"Aug 02, 2000",45.325,45.125,45.425,44.885,0.50%
"Aug 03, 2000",45.3,45.3,45.77,45.3,-0.06%
"Aug 04, 2000",45.385,45.325,45.495,45.275,0.19%
"Aug 07, 2000",45.555,45.425,45.65,45.375,0.37%
"Aug 08, 2000",45.7,45.58,45.795,45.55,0.32%
"Aug 09, 2000",45.615,45.765,45.845,45.485,-0.19%
"Aug 10, 2000",45.86,45.65,45.92,45.62,0.54%
"Aug 11, 2000",45.8,45.85,46.16,45.75,-0.13%
"Aug 14, 2000",45.75,45.75,46.005,45.75,-0.11%
"Aug 15, 2000",45.71,45.76,45.8,45.64,-0.09%
"Aug 16, 2000",45.73,45.75,45.797,45.7,0.04%
"Aug 17, 2000",45.9,45.69,45.945,45.65,0.37%
"Aug 18, 2000",45.82,45.94,46.055,45.8,-0.17%
"Aug 21, 2000",45.64,45.79,45.88,45.39,-0.39%
"Aug 22, 2000",45.675,45.625,45.805,45.605,0.08%
"Aug 23, 2000",45.81,45.76,45.89,45.69,0.30%
"Aug 24, 2000",46.155,46.075,46.255,45.985,0.75%
"Aug 25, 2000",45.88,45.95,46.05,45.88,-0.60%
"Aug 28, 2000",45.81,45.9,45.975,45.8,-0.15%
"Aug 29, 2000",45.8,45.8,45.915,45.56,-0.02%
"Aug 30, 2000",45.815,45.815,45.965,45.785,0.03%
"Aug 31, 2000",45.805,45.845,45.915,45.795,-0.02%
"Dec 01, 2000",46.845,46.845,46.902,46.785,-0.05%
"Dec 04, 2000",46.82,46.84,46.9,46.76,-0.05%
"Dec 05, 2000",46.695,46.815,46.815,46.605,-0.27%
"Dec 06, 2000",46.77,46.89,46.92,46.73,0.16%
"Dec 07, 2000",46.745,46.705,46.835,46.655,-0.05%
"Dec 08, 2000",46.725,46.825,46.845,46.725,-0.04%
"Dec 11, 2000",46.75,46.75,46.81,46.7,0.05%
"Dec 12, 2000",46.73,46.75,46.795,46.62,-0.04%
"Dec 13, 2000",46.755,46.785,46.822,46.51,0.05%
"Dec 14, 2000",46.755,46.795,46.817,46.695,0.00%
"Dec 15, 2000",46.755,46.795,46.81,46.725,0.00%
"Dec 18, 2000",46.74,46.79,46.82,46.73,-0.03%
"Dec 19, 2000",46.69,46.8,46.81,46.66,-0.11%
"Dec 20, 2000",46.715,46.775,46.845,46.645,0.05%
"Dec 21, 2000",46.69,46.72,46.777,46.65,-0.05%
"Dec 22, 2000",46.69,46.76,46.78,46.65,0.00%
"Dec 25, 2000",46.68,46.68,46.68,46.68,-0.02%
"Dec 26, 2000",46.68,46.75,46.835,46.62,0.00%
"Dec 27, 2000",46.69,46.705,46.785,46.64,0.02%
"Dec 28, 2000",46.7,46.7,46.76,46.65,0.02%
"Dec 29, 2000",46.68,46.78,46.815,46.67,-0.04%
"Feb 23, 2000",43.6,43.64,43.662,43.6,0.00%
"Feb 24, 2000",43.6,43.66,43.665,43.55,0.00%
"Feb 25, 2000",43.65,43.665,43.68,43.6,0.11%
"Feb 28, 2000",43.605,43.692,43.697,43.605,-0.10%
"Feb 29, 2000",43.614,43.603,43.62,43.553,0.02%
"Jul 03, 2000",44.66,44.7,44.742,44.66,0.02%
"Jul 04, 2000",44.665,44.575,44.697,44.575,0.01%
"Jul 05, 2000",44.67,44.737,44.75,44.325,0.01%
"Jul 06, 2000",44.73,44.72,44.825,44.71,0.13%
"Jul 07, 2000",44.705,44.795,44.817,44.705,-0.06%
"Jul 10, 2000",44.645,44.705,44.735,44.625,-0.13%
"Jul 11, 2000",44.675,44.725,44.76,44.675,0.07%
"Jul 12, 2000",44.675,44.725,44.762,44.675,0.00%
"Jul 13, 2000",44.705,44.675,44.785,44.675,0.07%
"Jul 14, 2000",44.705,44.725,44.785,44.675,0.00%
"Jul 17, 2000",44.705,44.675,44.745,44.575,0.00%
"Jul 18, 2000",44.755,44.725,44.822,44.675,0.11%
"Jul 19, 2000",44.775,44.725,44.867,44.575,0.04%
"Jul 20, 2000",44.92,44.8,45.01,44.8,0.32%
"Jul 21, 2000",44.71,44.97,45.16,44.54,-0.47%
"Jul 24, 2000",44.725,44.975,44.975,44.675,0.03%
"Jul 25, 2000",44.91,44.86,45.035,44.86,0.41%
"Jul 26, 2000",44.88,44.95,45.045,44.88,-0.07%
"Jul 27, 2000",44.875,44.855,44.977,44.855,-0.01%
"Jul 28, 2000",44.885,44.875,44.967,44.875,0.02%
